id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Hustle,Street Wave,hip-hop,confident,0.85,95,0.72,0.83,0.08
12,Golden Hour,Willow Creek,country,happy,0.61,104,0.88,0.67,0.74
13,Bass Drop City,Circuit Break,edm,intense,0.96,140,0.55,0.91,0.03
14,Velvet Static,Sable Moon,r&b,moody,0.58,86,0.63,0.70,0.31
15,Sunday Porch,The Hollows,folk,relaxed,0.30,68,0.79,0.48,0.95
16,Iron Curtain,Redline,metal,intense,0.95,168,0.32,0.55,0.07
17,Cloud Nine,Pastel Drift,indie pop,chill,0.55,98,0.78,0.68,0.42
18,Frozen Tundra,Arctic Hum,ambient,focused,0.22,55,0.42,0.35,0.88
19,Electric Sermon,Volt and Soul,r&b,happy,0.72,112,0.80,0.77,0.19
20,Rainy Rooftop,The Quartet,jazz,moody,0.44,88,0.58,0.52,0.82
21,Hyper Flash,Circuit Break,edm,confident,0.88,135,0.61,0.89,0.04
22,Campfire Confessions,River Moss,folk,relaxed,0.25,72,0.83,0.44,0.97
